mine,area_id,latitude,longitude,depth,ore_thickness,rock_density,moisture,iron_content,silica_content,geological_indicator_1,geological_indicator_2,historical_nearby_production,Mn_grade
Ukwa Mine,UKW-DH027,21.97934,80.47874,55.8,2.63,3.62,2.8,7.33,8.13,-0.344,0.574,29685,25.91
Ukwa Mine,UKW-DH028,21.95717,80.49,217.9,8.2,3.5,7.57,12.73,21.93,0.936,0.863,16502,30.4
Ukwa Mine,UKW-DH029,21.9871,80.45958,163.7,9.73,4.2,5.76,9.49,16.3,-0.366,0.465,38283,32.58
Ukwa Mine,UKW-DH030,21.94845,80.47288,78.0,10.84,3.79,7.49,4.02,13.22,0.543,0.745,56972,41.47
Ukwa Mine,UKW-DH031,21.96672,80.48031,93.9,1.85,3.96,2.87,6.01,15.16,-0.367,0.829,30630,23.91
Ukwa Mine,UKW-DH032,21.96807,80.46429,158.0,1.7,3.5,6.44,5.18,15.73,0.694,0.488,8045,22.27
Ukwa Mine,UKW-DH033,21.9917,80.45722,159.2,2.56,4.08,2.5,6.6,24.72,0.328,0.32,32914,24.75
Ukwa Mine,UKW-DH034,21.96362,80.46238,161.3,3.61,4.09,5.93,8.53,7.02,-0.611,0.299,53559,27.17
Ukwa Mine,UKW-DH035,21.94426,80.48188,184.6,11.38,3.84,2.33,7.64,8.35,0.465,0.19,28995,40.22
Ukwa Mine,UKW-DH036,21.98247,80.48476,49.3,11.43,3.55,4.84,10.18,7.16,-0.058,0.736,50081,41.11
Ukwa Mine,UKW-DH037,21.95137,80.46769,158.8,10.06,3.49,2.13,9.6,21.3,-0.159,0.948,29072,33.86
Ukwa Mine,UKW-DH038,21.94801,80.47477,141.7,7.46,4.22,5.85,10.25,23.11,-0.307,0.556,42138,32.06
Ukwa Mine,UKW-DH039,21.98119,80.46188,33.8,10.45,4.4,4.62,8.75,9.14,0.219,0.565,73506,48.2
Ukwa Mine,UKW-DH040,21.9504,80.49014,135.4,4.96,4.12,6.31,11.32,25.13,-0.82,0.159,25566,20.23
Ukwa Mine,UKW-DH041,21.94579,80.45012,179.1,6.42,4.06,4.66,10.67,14.89,-0.702,0.572,49275,29.03
Ukwa Mine,UKW-DH042,21.96937,80.45726,182.8,6.72,3.81,5.5,10.47,22.86,-0.731,0.715,56907,28.42
Ukwa Mine,UKW-DH043,21.98612,80.45,40.1,5.68,3.88,5.34,11.05,12.88,0.483,0.205,55429,32.83
Ukwa Mine,UKW-DH044,21.99145,80.47325,177.9,8.62,3.58,2.3,6.55,21.84,0.746,0.779,9967,32.22
Ukwa Mine,UKW-DH045,21.98416,80.4607,35.6,8.54,4.01,1.99,7.42,15.65,0.049,0.599,32635,36.99
Ukwa Mine,UKW-DH046,21.9725,80.48324,68.2,6.44,3.45,6.94,8.48,11.65,-0.161,0.232,70388,31.51
Ukwa Mine,UKW-DH047,21.98667,80.47474,203.8,8.83,3.84,3.53,10.84,14.91,-0.362,0.169,32978,25.36
Ukwa Mine,UKW-DH048,21.95277,80.48732,217.1,11.03,3.47,4.43,12.03,12.36,-0.261,0.587,8534,31.95
Ukwa Mine,UKW-DH049,21.95383,80.47529,83.1,7.61,3.89,5.23,11.34,16.37,-0.498,0.892,58952,34.07
Ukwa Mine,UKW-DH050,21.9643,80.45875,91.5,9.85,4.32,7.49,10.24,7.03,0.678,0.74,14965,44.58
Ukwa Mine,UKW-DH051,21.97029,80.45901,120.3,1.82,4.45,5.98,12.75,8.77,0.765,0.557,54957,30.21
Ukwa Mine,UKW-DH052,21.94805,80.45188,49.4,9.65,3.48,5.08,13.16,15.26,-0.424,0.33,29106,34.13
Ukwa Mine,UKW-DH053,21.98384,80.48214,168.5,4.48,3.69,1.97,11.41,10.85,0.202,0.237,19013,23.93
Ukwa Mine,UKW-DH054,21.9706,80.49533,64.1,4.38,3.68,2.26,10.52,9.99,0.637,0.713,10702,31.96
Ukwa Mine,UKW-DH055,21.9856,80.46349,41.0,3.76,3.77,4.73,6.47,19.87,0.933,0.127,35094,25.8
Ukwa Mine,UKW-DH056,21.95629,80.4702,182.0,2.64,3.41,6.73,5.24,25.67,0.633,0.428,50230,23.54
Ukwa Mine,UKW-DH057,21.97603,80.47622,74.2,9.57,3.42,1.91,8.21,24.15,-0.618,0.896,63567,32.04
Ukwa Mine,UKW-DH058,21.96685,80.4555,136.5,9.66,3.81,1.69,5.64,19.98,-0.464,0.265,26750,31.11
Ukwa Mine,UKW-DH059,21.98797,80.44883,145.5,3.73,3.71,4.1,4.58,17.46,-0.346,0.221,21364,23.98
Ukwa Mine,UKW-DH060,21.97534,80.48721,180.2,11.39,4.22,3.76,8.6,17.35,0.793,0.542,34022,40.79
Tirodi Mine,TIR-DH001,21.66509,79.70334,63.4,10.43,4.22,1.87,9.03,25.84,0.53,0.98,73257,43.76
Tirodi Mine,TIR-DH002,21.66943,79.72821,195.5,1.78,4.45,2.88,11.58,23.08,-0.211,0.839,64630,25.89
Tirodi Mine,TIR-DH003,21.66491,79.71703,174.5,8.39,4.36,1.68,13.0,20.31,0.164,0.596,20612,35.66
Tirodi Mine,TIR-DH004,21.68071,79.70285,114.8,2.13,3.64,2.88,4.01,17.0,0.802,0.277,16743,22.94
Tirodi Mine,TIR-DH005,21.69195,79.73334,181.7,4.53,3.42,5.2,11.36,24.43,0.674,0.857,72357,23.32
Tirodi Mine,TIR-DH006,21.67588,79.69245,79.1,2.61,3.57,7.48,13.13,22.05,0.319,0.253,72906,24.78
Tirodi Mine,TIR-DH007,21.69078,79.73384,170.9,3.5,4.02,2.6,10.54,12.83,-0.621,0.741,71569,28.08
Tirodi Mine,TIR-DH008,21.70581,79.73566,28.1,7.4,4.37,7.6,9.37,11.2,0.836,0.224,57938,38.81
Tirodi Mine,TIR-DH009,21.668,79.73652,53.8,10.32,3.49,5.97,12.42,19.14,-0.046,0.333,24719,31.13
Tirodi Mine,TIR-DH010,21.6615,79.68746,95.0,8.75,4.42,7.07,7.6,16.37,0.133,0.189,40126,35.75
Tirodi Mine,TIR-DH011,21.6993,79.71995,152.0,2.88,3.48,6.83,7.03,12.6,0.863,0.165,19397,21.24
Tirodi Mine,TIR-DH012,21.68345,79.73231,39.6,7.32,4.04,4.54,12.95,7.59,-0.553,0.883,18526,35.11
Tirodi Mine,TIR-DH013,21.66116,79.69768,57.9,8.38,4.16,6.1,6.67,12.04,-0.422,0.144,46309,33.63
Tirodi Mine,TIR-DH014,21.67414,79.70878,77.7,8.02,4.03,2.76,5.62,7.49,-0.325,0.172,64533,33.92
Tirodi Mine,TIR-DH015,21.67152,79.70727,114.5,8.01,3.5,4.93,12.41,10.51,-0.185,0.492,25641,27.45
Tirodi Mine,TIR-DH016,21.66953,79.69048,164.3,8.07,3.49,3.67,13.22,17.29,0.212,0.587,64333,30.48
Tirodi Mine,TIR-DH017,21.69702,79.70833,123.3,10.13,3.9,7.05,4.75,16.05,0.775,0.729,41641,42.9
Tirodi Mine,TIR-DH018,21.68998,79.71841,44.8,9.0,3.58,7.7,11.68,25.47,-0.623,0.473,74215,26.09
Tirodi Mine,TIR-DH019,21.67787,79.73726,140.7,9.79,3.67,7.24,4.64,24.37,-0.151,0.45,29850,29.02
Tirodi Mine,TIR-DH020,21.69977,79.72673,139.9,6.58,3.84,4.11,9.59,9.82,0.515,0.927,69970,39.11
Tirodi Mine,TIR-DH021,21.68423,79.69245,76.1,6.72,3.76,4.09,8.61,14.28,0.246,0.133,26453,30.04
Tirodi Mine,TIR-DH022,21.69078,79.68934,190.3,4.61,3.65,6.2,12.52,24.5,-0.814,0.819,28305,20.35
Tirodi Mine,TIR-DH023,21.67012,79.71198,153.7,2.21,4.31,2.35,8.21,25.51,0.636,0.337,35924,23.05
Tirodi Mine,TIR-DH024,21.66667,79.7286,162.2,9.02,4.31,6.67,5.51,16.79,-0.29,0.546,17089,32.09
Tirodi Mine,TIR-DH025,21.69866,79.73137,27.5,3.19,4.27,6.77,8.34,11.74,0.802,0.72,26356,34.44
Tirodi Mine,TIR-DH026,21.68787,79.69359,27.8,5.04,4.02,2.62,9.58,23.54,-0.22,0.244,67931,24.27
Tirodi Mine,TIR-DH027,21.69355,79.72184,75.9,5.18,3.57,5.11,12.14,25.33,0.315,0.696,26029,23.87
Tirodi Mine,TIR-DH028,21.69512,79.72578,23.7,10.59,4.08,5.29,6.4,7.16,0.599,0.369,72791,45.25
Tirodi Mine,TIR-DH029,21.68824,79.70859,93.2,4.79,3.66,4.44,11.83,19.87,-0.135,0.19,42271,20.13
Tirodi Mine,TIR-DH030,21.67481,79.71977,137.2,4.27,3.51,1.9,10.09,25.78,0.701,0.33,55643,20.25
Tirodi Mine,TIR-DH031,21.70072,79.70234,50.4,9.08,4.34,6.57,9.7,22.24,0.339,0.699,56326,34.57
Tirodi Mine,TIR-DH032,21.66907,79.70833,95.5,1.56,4.14,5.1,10.9,10.61,-0.45,0.57,60588,19.8
Tirodi Mine,TIR-DH033,21.70143,79.72099,118.0,9.91,4.28,7.02,4.93,10.44,-0.62,0.328,62159,37.19
Tirodi Mine,TIR-DH034,21.69009,79.70418,38.9,4.86,4.18,3.43,7.15,21.97,-0.381,0.359,65031,26.38
Tirodi Mine,TIR-DH035,21.67963,79.73072,132.4,10.93,3.47,7.1,12.24,16.51,-0.163,0.363,11622,29.8
Tirodi Mine,TIR-DH036,21.66611,79.70786,129.7,10.54,3.88,3.49,11.4,20.6,0.028,0.655,19847,32.02
Tirodi Mine,TIR-DH037,21.68782,79.68764,73.8,9.04,3.58,6.32,11.25,16.3,-0.692,0.641,50444,25.95
Tirodi Mine,TIR-DH038,21.67527,79.68929,59.7,5.04,3.41,3.53,5.81,22.83,0.368,0.651,24671,28.12
Tirodi Mine,TIR-DH039,21.69078,79.70462,46.4,5.15,4.02,2.55,6.83,22.65,-0.327,0.74,47957,26.05
Tirodi Mine,TIR-DH040,21.70587,79.70454,192.5,4.9,3.6,7.47,7.83,24.45,-0.439,0.74,16791,23.25
Tirodi Mine,TIR-DH041,21.6928,79.71688,54.0,4.98,4.08,1.74,6.43,23.65,0.113,0.143,74644,26.59
Tirodi Mine,TIR-DH042,21.65709,79.72189,100.9,5.12,3.97,4.49,10.6,9.91,0.285,0.365,52332,28.66
Tirodi Mine,TIR-DH043,21.68922,79.7009,136.6,2.61,4.27,2.16,5.12,20.66,-0.645,0.194,21309,20.02
Tirodi Mine,TIR-DH044,21.68226,79.69748,155.1,4.24,3.44,4.63,12.86,10.95,-0.255,0.102,52999,22.65
Tirodi Mine,TIR-DH045,21.70144,79.72916,148.6,2.74,3.49,4.72,4.96,20.75,-0.389,0.303,74241,19.32
Tirodi Mine,TIR-DH046,21.66109,79.69614,29.5,4.19,4.24,3.47,4.9,21.03,0.515,0.14,65084,32.41
Tirodi Mine,TIR-DH047,21.68927,79.69593,89.6,5.71,4.05,7.03,11.74,8.77,-0.521,0.453,72475,30.61
Tirodi Mine,TIR-DH048,21.69863,79.72739,144.8,9.41,3.52,5.89,12.95,8.11,-0.563,0.466,47580,32.48
Tirodi Mine,TIR-DH049,21.69621,79.72132,56.3,5.11,3.78,1.68,11.97,20.0,0.902,0.215,69667,31.22
Tirodi Mine,TIR-DH050,21.6584,79.70048,81.5,8.46,4.11,6.34,9.37,17.96,0.91,0.689,30666,38.94
Tirodi Mine,TIR-DH051,21.68226,79.72243,40.0,8.02,3.66,3.68,7.66,19.85,0.66,0.591,74182,38.37
Tirodi Mine,TIR-DH052,21.66395,79.72984,183.2,10.15,3.48,4.6,13.22,11.58,-0.759,0.296,51102,29.11
Tirodi Mine,TIR-DH053,21.67626,79.69915,108.9,9.45,3.87,6.9,5.13,15.49,0.045,0.675,14877,32.38
Tirodi Mine,TIR-DH054,21.65611,79.69194,136.3,7.58,3.72,4.7,10.38,10.93,0.861,0.42,11636,33.77
Tirodi Mine,TIR-DH055,21.66725,79.71012,128.0,7.58,3.9,5.64,5.08,20.6,0.517,0.295,30871,33.1
Tirodi Mine,TIR-DH056,21.6707,79.7135,154.8,1.67,3.57,2.38,10.85,20.62,-0.657,0.638,20565,14.0
Tirodi Mine,TIR-DH057,21.70261,79.70704,108.5,9.25,4.15,2.18,12.8,14.87,0.657,0.618,59734,36.61
Tirodi Mine,TIR-DH058,21.70391,79.69413,116.4,6.66,3.45,7.39,8.59,22.94,0.065,0.911,19873,27.17
Tirodi Mine,TIR-DH059,21.68503,79.72392,46.3,5.19,4.03,7.06,7.65,16.58,0.913,0.906,59079,36.05
Tirodi Mine,TIR-DH060,21.70462,79.71004,47.2,5.45,4.14,6.22,10.66,12.68,0.699,0.726,70679,41.85
Kandri Mine,KAN-DH001,21.43783,79.25954,141.7,4.19,3.76,5.74,10.18,25.65,0.875,0.543,54519,26.56
Kandri Mine,KAN-DH002,21.42381,79.27352,131.4,8.07,3.84,6.21,6.72,22.99,0.675,0.811,43023,35.59
Kandri Mine,KAN-DH003,21.40746,79.25677,150.5,3.26,4.19,2.51,6.38,12.45,0.661,0.708,27774,31.45
Kandri Mine,KAN-DH004,21.4469,79.25462,188.3,8.82,4.31,6.18,6.26,17.66,0.562,0.803,27272,37.59
Kandri Mine,KAN-DH005,21.43942,79.29582,96.4,11.05,4.42,3.47,4.12,17.49,-0.398,0.646,60322,43.32
Kandri Mine,KAN-DH006,21.45177,79.28473,146.2,8.98,3.97,5.3,13.16,21.75,-0.32,0.256,53738,26.47
Kandri Mine,KAN-DH007,21.41555,79.25819,120.6,5.09,3.85,5.01,9.55,9.47,-0.391,0.391,55549,28.93
Kandri Mine,KAN-DH008,21.42233,79.25204,200.7,7.54,4.09,4.59,7.4,17.88,0.561,0.38,22737,32.71
Kandri Mine,KAN-DH009,21.41539,79.25291,118.9,5.48,3.96,2.08,6.03,11.2,-0.253,0.418,22636,28.57
Kandri Mine,KAN-DH010,21.45603,79.29068,210.0,1.29,4.1,4.31,9.83,24.19,0.268,0.944,53731,21.58
Kandri Mine,KAN-DH011,21.42225,79.2953,203.1,5.17,3.97,3.28,11.81,24.32,-0.175,0.806,37852,28.59
Kandri Mine,KAN-DH012,21.41583,79.27519,203.7,2.92,4.4,4.89,4.62,7.14,0.357,0.781,65952,35.95
Kandri Mine,KAN-DH013,21.42741,79.2547,125.1,8.44,4.43,6.38,12.93,19.28,0.494,0.235,38768,34.07
Kandri Mine,KAN-DH014,21.40891,79.28921,129.0,7.12,3.64,3.13,9.99,14.37,-0.071,0.115,53111,28.64
Kandri Mine,KAN-DH015,21.43294,79.28157,140.6,8.99,4.01,5.92,12.82,8.38,-0.659,0.792,28190,36.38
Kandri Mine,KAN-DH016,21.42808,79.26926,148.7,6.08,3.96,2.36,11.58,14.43,0.132,0.945,17653,32.55
Kandri Mine,KAN-DH017,21.44006,79.29521,174.4,8.71,3.79,7.48,9.27,17.52,-0.628,0.104,47976,22.52
Kandri Mine,KAN-DH018,21.42143,79.28691,195.1,4.74,3.83,5.57,5.53,16.74,-0.453,0.835,21020,24.22
Kandri Mine,KAN-DH019,21.41527,79.28948,185.3,9.97,4.38,7.76,9.22,15.76,-0.327,0.159,14580,31.78
Kandri Mine,KAN-DH020,21.42274,79.25591,147.7,2.23,4.05,7.17,8.28,13.04,0.259,0.369,47139,24.07
Kandri Mine,KAN-DH021,21.43448,79.26772,82.8,5.61,3.41,3.05,11.03,11.21,-0.065,0.839,16998,27.33
Kandri Mine,KAN-DH022,21.42934,79.26744,80.7,6.88,3.58,5.32,12.16,22.99,-0.598,0.574,25637,19.63
Kandri Mine,KAN-DH023,21.45052,79.25332,36.7,1.39,3.93,1.7,7.85,18.06,0.212,0.898,44957,20.49
Kandri Mine,KAN-DH024,21.42981,79.28826,92.2,3.5,4.21,6.12,8.41,12.53,0.069,0.449,41645,27.41
Kandri Mine,KAN-DH025,21.43933,79.2919,176.6,7.52,3.57,4.74,5.7,15.48,0.858,0.68,72838,36.0
Kandri Mine,KAN-DH026,21.42414,79.26044,115.6,1.85,3.79,1.77,12.62,10.93,-0.2,0.513,38461,20.55
Kandri Mine,KAN-DH027,21.40852,79.29853,84.3,8.45,3.95,6.73,6.5,22.86,0.13,0.253,51796,30.13
Kandri Mine,KAN-DH028,21.44797,79.27533,94.3,10.54,3.94,3.72,8.63,23.49,0.018,0.632,41623,37.09
Kandri Mine,KAN-DH029,21.41315,79.25778,37.0,7.83,3.62,2.68,10.81,13.88,-0.637,0.303,62349,29.03
Kandri Mine,KAN-DH030,21.43014,79.26004,53.1,9.78,3.42,1.77,5.53,17.9,0.283,0.134,46342,30.62
Kandri Mine,KAN-DH031,21.409,79.26241,56.7,11.07,4.03,5.05,10.84,7.35,0.341,0.349,13745,34.22
Kandri Mine,KAN-DH032,21.44957,79.25803,181.1,7.39,4.23,6.67,10.27,10.46,-0.374,0.737,30959,34.81
Kandri Mine,KAN-DH033,21.42887,79.27903,66.2,5.17,3.51,2.77,8.79,23.33,-0.094,0.232,14452,18.4
Kandri Mine,KAN-DH034,21.40815,79.28869,118.6,2.41,3.91,2.32,11.86,18.47,0.765,0.782,51499,28.58
Kandri Mine,KAN-DH035,21.4323,79.26802,30.6,6.66,3.64,6.55,7.62,22.0,0.21,0.752,59023,31.6
Kandri Mine,KAN-DH036,21.41289,79.27336,66.7,10.05,3.7,7.02,5.8,14.76,0.426,0.795,46725,38.93
Kandri Mine,KAN-DH037,21.41209,79.24986,147.5,8.28,3.73,3.78,10.19,9.94,-0.393,0.852,36379,31.96
Kandri Mine,KAN-DH038,21.44023,79.28725,101.3,9.27,3.91,3.83,6.41,17.54,-0.298,0.403,55268,34.69
Kandri Mine,KAN-DH039,21.44299,79.29225,148.4,8.9,3.87,5.91,6.04,10.07,-0.129,0.398,44889,33.69
Kandri Mine,KAN-DH040,21.41424,79.29773,23.3,2.14,3.55,7.33,4.61,15.27,-0.451,0.17,10530,16.1
Kandri Mine,KAN-DH041,21.42542,79.29872,139.7,6.57,4.15,5.26,11.79,24.97,0.303,0.486,21514,26.03
Kandri Mine,KAN-DH042,21.4205,79.25118,137.0,6.51,3.64,2.57,6.27,7.69,-0.849,0.239,74787,25.83
Kandri Mine,KAN-DH043,21.44518,79.26716,97.9,7.24,3.94,6.14,4.86,8.3,-0.338,0.83,69306,34.43
Kandri Mine,KAN-DH044,21.42003,79.27982,59.5,10.78,4.0,3.14,5.01,14.74,-0.72,0.359,71450,40.96
Kandri Mine,KAN-DH045,21.44635,79.29734,189.9,9.58,4.0,5.87,9.35,25.36,0.536,0.767,72403,34.62
Kandri Mine,KAN-DH046,21.43554,79.25087,44.5,1.9,4.07,7.76,6.18,19.86,-0.282,0.941,42606,26.77
Kandri Mine,KAN-DH047,21.40669,79.29111,69.8,2.16,4.11,6.67,12.85,8.44,0.008,0.411,67919,27.95
Kandri Mine,KAN-DH048,21.44036,79.295,117.7,3.26,4.17,7.0,5.93,10.93,-0.401,0.644,18452,31.48
Kandri Mine,KAN-DH049,21.41153,79.29551,151.6,8.03,4.04,6.31,4.4,17.29,0.018,0.646,40987,38.04
Kandri Mine,KAN-DH050,21.44964,79.27404,210.6,10.63,3.69,2.9,4.51,17.96,0.589,0.521,44231,36.27
Kandri Mine,KAN-DH051,21.43132,79.26919,153.6,3.0,4.43,5.9,10.55,15.74,-0.829,0.285,46928,21.84
Kandri Mine,KAN-DH052,21.41919,79.27693,67.6,6.05,4.04,3.81,6.0,16.48,0.411,0.428,65240,36.58
Kandri Mine,KAN-DH053,21.42018,79.25849,47.3,7.13,3.64,2.13,6.24,12.13,-0.072,0.435,17772,31.38
Kandri Mine,KAN-DH054,21.44648,79.25833,117.8,11.45,4.29,4.76,11.46,20.69,-0.31,0.595,46045,36.76
Kandri Mine,KAN-DH055,21.42612,79.28403,33.7,9.58,3.9,5.47,7.18,15.55,-0.2,0.593,70434,37.8
Kandri Mine,KAN-DH056,21.41226,79.29287,206.5,3.25,4.0,5.59,11.41,10.32,-0.211,0.692,40662,26.45
Kandri Mine,KAN-DH057,21.44303,79.29398,95.2,4.15,4.06,2.41,11.67,10.18,-0.243,0.656,46300,29.81
Kandri Mine,KAN-DH058,21.4143,79.26091,82.9,4.2,3.68,5.56,8.23,12.15,0.703,0.42,47324,29.74
Kandri Mine,KAN-DH059,21.45448,79.2702,57.4,1.44,4.16,5.67,10.66,24.87,-0.706,0.247,14902,19.56
Kandri Mine,KAN-DH060,21.43362,79.25082,98.2,9.08,3.49,3.15,10.22,9.95,0.744,0.372,24576,36.35
Munsar Mine,MUN-DH001,21.39111,79.29962,46.3,9.84,3.43,5.68,7.09,23.35,0.007,0.958,44219,32.73
Munsar Mine,MUN-DH002,21.42538,79.30318,54.9,7.36,4.06,5.51,8.97,17.72,0.301,0.373,31260,33.55
Munsar Mine,MUN-DH003,21.40388,79.30854,104.4,4.97,3.67,3.41,11.75,7.0,0.676,0.403,39436,34.32
Munsar Mine,MUN-DH004,21.42425,79.29215,23.5,5.63,3.71,2.96,7.55,7.14,-0.109,0.593,34448,31.09
Munsar Mine,MUN-DH005,21.38506,79.30516,94.6,5.1,3.68,4.16,11.26,11.55,0.788,0.811,53871,32.11
Munsar Mine,MUN-DH006,21.41734,79.28895,181.4,3.08,3.7,5.51,6.59,18.74,0.271,0.265,9299,22.51
Munsar Mine,MUN-DH007,21.37938,79.29505,56.5,2.25,3.68,6.01,6.21,20.82,-0.579,0.534,30908,17.46
Munsar Mine,MUN-DH008,21.4268,79.29148,169.8,4.6,4.29,7.5,11.37,8.06,-0.722,0.514,20877,28.66
Munsar Mine,MUN-DH009,21.41898,79.30916,176.7,2.46,4.21,3.07,8.21,21.65,0.478,0.129,38876,22.57
Munsar Mine,MUN-DH010,21.42601,79.29194,149.2,4.41,3.74,5.46,12.91,7.8,0.088,0.323,50781,24.1
Munsar Mine,MUN-DH011,21.38684,79.31268,183.3,3.44,3.52,5.49,5.59,13.17,-0.353,0.205,60873,21.67
Munsar Mine,MUN-DH012,21.41607,79.29206,133.3,5.03,3.49,2.49,9.88,8.74,0.826,0.977,49884,33.05
Munsar Mine,MUN-DH013,21.37989,79.30053,152.9,9.35,3.53,2.97,11.49,25.65,0.512,0.809,37394,31.46
Munsar Mine,MUN-DH014,21.39481,79.27504,189.8,6.2,3.86,3.36,5.8,20.24,-0.514,0.406,57071,27.55
Munsar Mine,MUN-DH015,21.39067,79.30987,192.8,6.91,3.47,2.48,6.5,12.62,-0.189,0.101,50748,24.35
Munsar Mine,MUN-DH016,21.37784,79.31114,166.9,3.66,4.16,5.65,7.68,17.24,0.093,0.538,44948,27.21
Munsar Mine,MUN-DH017,21.40755,79.28443,141.6,2.34,3.95,1.92,5.23,22.87,0.722,0.278,40520,25.28
Munsar Mine,MUN-DH018,21.41871,79.3012,120.1,8.42,3.67,3.81,4.67,18.51,0.824,0.284,40924,34.24
Munsar Mine,MUN-DH019,21.42139,79.2723,171.6,1.83,3.99,7.41,7.51,14.9,0.425,0.825,25810,25.98
Munsar Mine,MUN-DH020,21.3921,79.31553,201.4,2.2,4.16,4.85,9.0,10.6,-0.402,0.65,19986,22.81
Munsar Mine,MUN-DH021,21.41436,79.28906,41.5,7.78,3.78,4.39,12.39,19.64,-0.55,0.259,34904,24.83
Munsar Mine,MUN-DH022,21.42682,79.29045,87.7,4.45,4.44,3.55,11.26,14.06,-0.075,0.739,48764,32.13
Munsar Mine,MUN-DH023,21.40506,79.279,165.0,10.74,3.67,7.56,7.77,15.5,0.457,0.965,47916,32.61
Munsar Mine,MUN-DH024,21.39199,79.28332,63.3,10.01,3.42,6.68,6.62,20.1,0.147,0.59,70037,33.55
Munsar Mine,MUN-DH025,21.38464,79.27019,88.3,2.63,3.79,5.17,11.71,11.43,-0.685,0.452,69498,22.34
Munsar Mine,MUN-DH026,21.41655,79.27695,176.2,8.3,4.01,7.22,6.85,18.31,0.465,0.607,13258,29.04
Munsar Mine,MUN-DH027,21.3797,79.30685,86.8,9.62,3.84,6.97,6.15,23.53,0.325,0.63,8766,32.32
Munsar Mine,MUN-DH028,21.39214,79.27036,122.7,2.74,3.93,2.89,10.95,7.96,-0.143,0.492,47874,23.78
Munsar Mine,MUN-DH029,21.40214,79.2794,76.0,5.26,3.54,2.02,4.47,17.86,-0.131,0.175,41622,24.0
Munsar Mine,MUN-DH030,21.38364,79.29626,113.0,7.92,3.61,5.38,6.34,20.98,-0.721,0.784,29669,25.34
Munsar Mine,MUN-DH031,21.42311,79.27278,147.4,5.56,3.77,3.52,4.23,18.28,-0.301,0.969,49287,30.57
Munsar Mine,MUN-DH032,21.38419,79.27054,174.8,3.26,3.79,6.27,5.07,23.2,-0.752,0.935,70091,22.23
Munsar Mine,MUN-DH033,21.42034,79.30931,24.3,8.35,3.52,4.34,5.99,7.43,0.118,0.279,43059,33.58
Munsar Mine,MUN-DH034,21.4134,79.27537,152.5,1.39,4.01,5.68,5.62,7.83,-0.339,0.794,49404,27.89
Munsar Mine,MUN-DH035,21.37955,79.30104,23.3,5.2,3.68,6.87,12.21,19.54,-0.816,0.863,51511,24.84
Munsar Mine,MUN-DH036,21.42573,79.27328,80.8,10.13,3.96,2.67,8.35,16.51,0.817,0.119,24575,37.3
Munsar Mine,MUN-DH037,21.40337,79.28498,95.3,2.82,3.76,3.72,6.24,18.88,0.911,0.541,62397,25.55
Munsar Mine,MUN-DH038,21.42142,79.30904,27.3,6.92,3.69,2.46,10.24,24.05,-0.692,0.436,72361,22.83
Munsar Mine,MUN-DH039,21.40752,79.29958,64.3,3.68,3.56,7.61,7.13,24.28,0.126,0.282,17285,16.21
Munsar Mine,MUN-DH040,21.42003,79.28375,153.6,6.6,3.54,7.77,5.38,25.54,0.829,0.907,29272,28.44
Munsar Mine,MUN-DH041,21.40477,79.31573,43.9,4.47,4.32,6.08,12.36,21.54,-0.105,0.462,37681,29.83
Munsar Mine,MUN-DH042,21.42356,79.28199,167.5,2.3,3.59,6.3,6.54,18.63,0.171,0.303,23556,17.08
Munsar Mine,MUN-DH043,21.41127,79.28626,150.5,6.11,3.93,5.31,7.55,20.53,0.684,0.532,17213,28.78
Munsar Mine,MUN-DH044,21.41513,79.26905,72.2,5.45,4.18,7.73,4.63,21.4,0.819,0.967,66098,36.98
Munsar Mine,MUN-DH045,21.4014,79.28454,107.3,3.74,3.83,1.76,7.61,20.97,-0.287,0.638,57745,22.15
Munsar Mine,MUN-DH046,21.42069,79.30765,119.1,5.85,4.27,1.77,8.93,25.92,-0.138,0.747,45366,26.82
Munsar Mine,MUN-DH047,21.40271,79.29983,31.0,4.2,3.82,3.42,8.38,22.72,-0.09,0.64,11655,22.11
Munsar Mine,MUN-DH048,21.41839,79.29088,156.9,2.37,4.22,7.41,5.29,20.23,-0.106,0.497,19985,21.92
Munsar Mine,MUN-DH049,21.40642,79.30393,59.5,5.88,3.66,5.86,11.57,24.24,0.443,0.209,15649,21.46
Munsar Mine,MUN-DH050,21.40309,79.2875,169.7,6.47,4.4,3.89,11.3,14.23,0.792,0.598,52189,36.23
Munsar Mine,MUN-DH051,21.3844,79.31174,55.2,8.53,3.84,3.45,8.24,21.6,0.278,0.203,16815,29.75
Munsar Mine,MUN-DH052,21.38956,79.29123,181.8,6.8,3.41,7.06,9.59,11.52,0.006,0.461,13320,27.56
Munsar Mine,MUN-DH053,21.40691,79.28054,124.1,7.58,3.99,6.7,5.41,7.93,0.326,0.132,65207,33.41
Munsar Mine,MUN-DH054,21.39182,79.31432,30.9,5.49,3.59,5.73,10.57,18.61,0.221,0.793,19887,24.08
Munsar Mine,MUN-DH055,21.39967,79.29725,196.0,2.16,3.71,3.82,4.64,14.2,-0.081,0.584,27620,23.18
Munsar Mine,MUN-DH056,21.39062,79.29465,119.9,8.37,4.04,2.19,9.98,20.86,0.927,0.526,54140,37.69
Munsar Mine,MUN-DH057,21.42359,79.31761,75.5,7.47,3.73,4.81,7.36,25.91,-0.617,0.595,42820,23.84
