mine,date,planned_production,actual_production,previous_production,equipment_downtime,blasting_delay,rainfall
Sitapatore Mine,2021-11,10300,10470,10420,27.6,8.1,5.3
Sitapatore Mine,2021-12,10800,10560,10470,24.8,5.5,25.6
Sitapatore Mine,2022-01,10900,10290,10560,27.3,7.2,18.5
Sitapatore Mine,2022-02,10100,10110,10290,11.2,5.2,1.9
Sitapatore Mine,2022-03,10100,9390,10110,31.7,10.6,7.9
Sitapatore Mine,2022-04,10400,9310,9390,17.2,11.4,9.4
Sitapatore Mine,2022-05,10900,9950,9310,35.7,3.1,20.9
Sitapatore Mine,2022-06,10200,8580,9950,34.5,11.8,103.5
Sitapatore Mine,2022-07,10400,5450,8580,54.2,15.3,396.0
Sitapatore Mine,2022-08,11300,5890,5450,89.1,32.9,198.5
Sitapatore Mine,2022-09,11100,5400,5890,76.7,20.2,320.0
Sitapatore Mine,2022-10,10100,9390,5400,28.4,4.0,29.2
Sitapatore Mine,2022-11,11300,10300,9390,35.8,7.4,10.7
Sitapatore Mine,2022-12,11200,10970,10300,10.5,6.2,12.8
Sitapatore Mine,2023-01,10100,8830,10970,40.0,12.8,27.1
Sitapatore Mine,2023-02,10200,8650,8830,44.3,12.3,0.7
Sitapatore Mine,2023-03,10500,9430,8650,18.6,10.9,17.4
Sitapatore Mine,2023-04,10900,9400,9430,32.4,13.6,33.4
Sitapatore Mine,2023-05,10300,9170,9400,25.7,13.5,31.5
Sitapatore Mine,2023-06,10000,7430,9170,41.7,19.9,67.4
Sitapatore Mine,2023-07,10600,5970,7430,67.3,27.9,304.8
Sitapatore Mine,2023-08,10600,4630,5970,108.0,25.5,249.2
Sitapatore Mine,2023-09,10400,4560,4630,107.8,28.1,216.1
Sitapatore Mine,2023-10,10000,10150,4560,11.4,5.4,0.5
Sitapatore Mine,2023-11,10300,9960,10150,25.1,9.9,10.7
Sitapatore Mine,2023-12,10100,9760,9960,33.3,11.2,30.1
Sitapatore Mine,2024-01,10100,9300,9760,44.9,4.4,9.5
Sitapatore Mine,2024-02,11300,10900,9300,38.4,9.6,12.4
Sitapatore Mine,2024-03,10700,10310,10900,19.1,5.6,3.4
Sitapatore Mine,2024-04,10700,10110,10310,33.9,4.4,20.2
Sitapatore Mine,2024-05,10700,9650,10110,13.0,8.8,10.5
Sitapatore Mine,2024-06,11300,9980,9650,30.5,13.3,70.6
Sitapatore Mine,2024-07,10500,5570,9980,75.4,24.0,351.0
Sitapatore Mine,2024-08,10400,4560,5570,72.4,30.9,409.8
Sitapatore Mine,2024-09,10700,5500,4560,78.3,17.7,238.2
Sitapatore Mine,2024-10,11200,10930,5500,24.1,2.1,13.7
Sitapatore Mine,2024-11,10900,10170,10930,11.9,2.7,16.1
Sitapatore Mine,2024-12,11000,10970,10170,26.9,6.0,10.2
Beldongri Mine,2021-01,10200,9770,10290,35.9,2.6,23.6
Beldongri Mine,2021-02,10400,9400,9770,33.6,12.2,7.8
Beldongri Mine,2021-03,10100,9880,9400,10.2,7.8,34.6
Beldongri Mine,2021-04,11100,10770,9880,13.4,4.5,4.2
Beldongri Mine,2021-05,11300,11310,10770,11.9,3.5,15.5
Beldongri Mine,2021-06,10800,7630,11310,57.9,16.2,78.3
Beldongri Mine,2021-07,10900,5330,7630,86.4,18.9,283.8
Beldongri Mine,2021-08,11300,6050,5330,76.0,21.1,311.2
Beldongri Mine,2021-09,10100,4210,6050,88.4,23.2,298.3
Beldongri Mine,2021-10,10400,10420,4210,26.0,8.8,1.0
Beldongri Mine,2021-11,11200,11100,10420,41.3,9.4,22.6
Beldongri Mine,2021-12,11100,10440,11100,19.7,13.8,25.3
Beldongri Mine,2022-01,10100,9380,10440,22.2,10.5,17.6
Beldongri Mine,2022-02,10400,9210,9380,21.9,10.6,25.2
Beldongri Mine,2022-03,10900,9650,9210,20.6,6.7,26.7
Beldongri Mine,2022-04,10700,9850,9650,30.2,13.1,23.1
Beldongri Mine,2022-05,10800,10210,9850,21.3,13.5,4.5
Beldongri Mine,2022-06,11300,9720,10210,31.4,9.2,99.6
Beldongri Mine,2022-07,11000,4700,9720,94.4,35.6,294.3
Beldongri Mine,2022-08,10100,5490,4700,103.0,30.9,221.8
Beldongri Mine,2022-09,11000,5800,5490,52.4,32.8,326.9
Beldongri Mine,2022-10,11300,10350,5800,21.2,10.4,32.3
Beldongri Mine,2022-11,10400,10050,10350,17.0,5.0,20.1
Beldongri Mine,2022-12,10800,10130,10050,38.3,4.3,28.5
Beldongri Mine,2023-01,10500,9160,10130,17.1,11.7,23.4
Beldongri Mine,2023-02,10900,10190,9160,16.5,10.8,2.5
Beldongri Mine,2023-03,10500,9380,10190,39.1,8.8,17.4
Beldongri Mine,2023-04,10100,9540,9380,12.4,7.1,4.8
Beldongri Mine,2023-05,10300,9730,9540,37.4,5.6,2.7
Beldongri Mine,2023-06,10900,8520,9730,62.6,19.1,55.7
Beldongri Mine,2023-07,10800,6320,8520,101.6,35.3,196.3
Beldongri Mine,2023-08,10100,4300,6320,70.9,16.2,300.0
Beldongri Mine,2023-09,10400,5540,4300,104.6,20.5,293.0
Beldongri Mine,2023-10,11200,10710,5540,14.9,8.6,26.8
Beldongri Mine,2023-11,11300,11350,10710,40.7,4.8,23.2
Beldongri Mine,2023-12,10800,9470,11350,11.2,13.8,26.8
Beldongri Mine,2024-01,10300,9470,9470,12.8,8.6,21.4
Beldongri Mine,2024-02,11100,10590,9470,32.8,7.2,17.8
Beldongri Mine,2024-03,11100,9820,10590,10.8,2.7,34.0
Beldongri Mine,2024-04,11000,10490,9820,35.8,8.6,23.9
Beldongri Mine,2024-05,10600,11030,10490,25.0,7.1,24.3
Beldongri Mine,2024-06,10300,8220,11030,32.7,13.2,65.7
Beldongri Mine,2024-07,11100,4170,8220,59.8,30.7,321.3
Beldongri Mine,2024-08,10100,5140,4170,91.8,32.1,183.6
Beldongri Mine,2024-09,10300,5440,5140,47.8,22.3,223.3
Beldongri Mine,2024-10,10700,10990,5440,14.3,2.9,16.8
Beldongri Mine,2024-11,10300,9000,10990,35.7,6.3,17.3
Beldongri Mine,2024-12,10300,8890,9000,20.2,9.8,27.3
